clase,variable_meta,n,n_finite,n_nan,n_inf,pct_finite,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,n_zero,n_negative,n_outlier_iqr
contaminacion_alta_NO2,era5_BLH,1000,1000,0,0,1.0,699.7164116821289,140.73686454203997,163.2509765625,300.33210052490233,477.291015625,613.5925903320312,705.458251953125,781.1953125,941.935546875,1070.3385009765625,1154.5648193359375,0.0,0.0,40.0
contaminacion_alta_NO2,era5_RH850,1000,1000,0,0,1.0,88.91528485107422,5.362078428285086,51.908485412597656,70.2844987487793,79.34540328979492,86.53272438049316,90.22396850585938,92.86151123046875,95.25951385498047,96.23123168945312,97.80514526367188,0.0,0.0,31.0
contaminacion_alta_NO2,era5_psurf,1000,1000,0,0,1.0,86989.16115625,2085.6803358692673,85093.546875,85140.3125,85189.78125,85345.140625,85892.28125,89448.8984375,90721.3203125,90871.328125,90980.296875,0.0,0.0,0.0
contaminacion_alta_NO2,era5_precip,1000,1000,0,0,1.0,0.00031214430183172225,0.000705507818978424,-9.313225746154785e-10,-9.313225746154785e-10,0.0,2.253800630569458e-06,8.20159912109375e-05,0.00024082721211016178,0.0019998550415039062,0.0032958984375,0.0043496256694197655,160.0,14.0,100.0
contaminacion_alta_NO2,modis_AOD_047,1000,183,817,0,0.183,0.32028415346202627,0.13212131666408725,0.0,0.015579999499022962,0.1034000001847744,0.23149999976158142,0.3240000009536743,0.40150000154972076,0.5468999803066255,0.6393599939346314,0.6570000052452087,2.0,0.0,1.0
contaminacion_alta_NO2,modis_AOD_055,1000,183,817,0,0.183,0.23190710378067741,0.09661889004233723,0.0,0.010660000219941141,0.07420000061392784,0.16649999469518661,0.23499999940395355,0.29200001060962677,0.39720000028610236,0.4663599914312363,0.47999998927116394,2.0,0.0,0.0
contaminacion_alta_NO2,modis_WV,1000,978,22,0,0.978,1.902206542644581,1.1425807757554527,0.10000000149011612,0.10000000149011612,0.23992499560117722,0.9156249910593033,1.9392499923706055,2.7513749599456787,3.767299973964691,4.367254881858826,4.63100004196167,0.0,0.0,0.0
contaminacion_alta_SO2,lat,1000,1000,0,0,1.0,3.452471236270092,0.09237401904127888,3.3029256366508193,3.304090751574322,3.313974914645484,3.373892544096228,3.4526747945134733,3.5330964703242356,3.6036860853503145,3.614912331455951,3.6160783446947375,0.0,0.0,0.0
contaminacion_alta_SO2,lon,1000,1000,0,0,1.0,-76.44706905642703,0.0822228928425486,-76.64309223120812,-76.64040177693214,-76.59217122932706,-76.50261817865191,-76.44177977603404,-76.38291766704126,-76.32130671327904,-76.31026462180648,-76.30290023310717,0.0,1000.0,0.0
contaminacion_alta_SO2,ndvi,1000,1000,0,0,1.0,0.543357401452247,0.17587758970558462,0.04881556415596635,0.11809761144846377,0.2054272960868265,0.42480151920554343,0.5686493171103616,0.681446106858356,0.7820509443083006,0.8377434226071853,0.875384320889494,0.0,0.0,0.0
contaminacion_alta_SO2,ndbi,1000,1000,0,0,1.0,-0.1446587362410053,0.1381521306278783,-0.4321223894312153,-0.399621920009892,-0.34019452788217236,-0.2575093641941515,-0.15699728675957209,-0.04174871381653335,0.09795879207668663,0.1512952569438227,0.2737456019715445,0.0,825.0,0.0
contaminacion_alta_SO2,scl_pct,1000,1000,0,0,1.0,0.919189453125,0.15889587938644736,0.30126953125,0.3708251953125,0.5070068359375,0.9320068359375,1.0,1.0,1.0,1.0,1.0,0.0,0.0,184.0
contaminacion_alta_SO2,no2,1000,0,1000,0,0.0,,,,,,,,,,,,,,
contaminacion_alta_SO2,so2,1000,1000,0,0,1.0,0.000592164286179468,0.0002565750616463127,0.00038742730976082385,0.0003887699532788247,0.00039658826135564597,0.0004429499967955053,0.0005255985597614199,0.0006421502330340445,0.0009778484178241341,0.001497762460494414,0.0030928400810807943,0.0,0.0,61.0
contaminacion_alta_SO2,o3,1000,0,1000,0,0.0,,,,,,,,,,,,,,
contaminacion_alta_SO2,era5_T2m,1000,1000,0,0,1.0,298.19770593261717,2.0643304528875785,292.4900817871094,293.03369140625,295.2333618164063,296.5402297973633,297.82525634765625,300.0732421875,301.44024658203125,303.1817321777344,303.1817321777344,0.0,0.0,0.0
contaminacion_alta_SO2,era5_Td2m,1000,1000,0,0,1.0,292.5206961364746,1.4160163443931064,288.60308837890625,289.84194122314454,290.28070068359375,291.5775146484375,292.26446533203125,293.3852844238281,294.91485595703125,296.30487060546875,298.4338073730469,0.0,0.0,16.0
contaminacion_alta_SO2,era5_u10,1000,1000,0,0,1.0,0.1704984672218561,0.7460431886703914,-1.2956390380859375,-1.2956390380859375,-1.0965598821640015,-0.3716084957122803,0.10554122924804688,0.7495599985122681,1.4378815591335297,1.7634060382843018,1.9433778524398804,0.0,451.0,0.0
contaminacion_alta_SO2,era5_v10,1000,1000,0,0,1.0,-1.0010474984645843,0.4515400638897435,-1.7702184915542603,-1.7702184915542603,-1.698394775390625,-1.3098888397216797,-1.0476788878440857,-0.764687180519104,-0.09763351976871823,0.47677159309387207,0.47677159309387207,0.0,965.0,35.0
contaminacion_alta_SO2,era5_BLH,1000,1000,0,0,1.0,708.5801678466797,124.05778162644553,163.2509765625,366.82872192382814,482.998291015625,652.5313720703125,714.232666015625,781.08740234375,898.3365478515625,955.108105468749,1154.5648193359375,0.0,0.0,50.0
contaminacion_alta_SO2,era5_RH850,1000,1000,0,0,1.0,85.26461868286133,8.407860053620729,51.908485412597656,51.908485412597656,68.40288543701172,81.80860900878906,87.55961608886719,90.62032127380371,94.76419830322266,96.22848510742188,97.380859375,0.0,0.0,63.0
contaminacion_alta_SO2,era5_psurf,1000,1000,0,0,1.0,87784.1877109375,2005.38719249297,85093.546875,85148.7734375,85218.609375,85866.6875,89292.8984375,89505.9375,90578.1640625,90797.4296875,90980.296875,0.0,0.0,0.0
contaminacion_alta_SO2,era5_precip,1000,1000,0,0,1.0,0.0002055706325918436,0.0005823240733377158,-1.862645149230957e-09,-9.313225746154785e-10,0.0,0.0,1.1241063475608826e-05,0.00015713274478912354,0.0007469901815056794,0.0032958984375,0.0043496256694197655,264.0,48.0,103.0
contaminacion_alta_SO2,modis_AOD_047,1000,164,836,0,0.164,0.3549695126059261,0.13601425345438514,0.003000000026077032,0.015395000418648126,0.16345000118017197,0.26237501204013824,0.3409999907016754,0.45499999076128006,0.5777000039815903,0.6226400035619739,0.6690000295639038,0.0,0.0,0.0
contaminacion_alta_SO2,modis_AOD_055,1000,164,836,0,0.164,0.2572621955073484,0.09963510375588877,0.0020000000949949026,0.010559999798424542,0.1172999992966652,0.18862499669194221,0.24650000035762787,0.33025000989437103,0.4218499928712845,0.4546100035309794,0.48899999260902405,0.0,0.0,0.0
contaminacion_alta_SO2,modis_WV,1000,982,18,0,0.982,1.746443992218879,1.3013950465952342,0.10000000149011612,0.14240499943494797,0.16500000655651093,0.5542500168085098,1.4162499904632568,2.7986249923706055,4.031800055503845,4.710185160636901,5.328000068664551,0.0,0.0,0.0
ozono_anomalo,lat,1000,1000,0,0,1.0,3.457432451921225,0.09291742475184946,3.3029256366508193,3.3037341204065265,3.3150484014100066,3.3832799388152726,3.4553697403658306,3.5357240425302843,3.6043104144727773,3.61581064674007,3.645632917542256,0.0,0.0,0.0
ozono_anomalo,lon,1000,1000,0,0,1.0,-76.4617794183623,0.09506516810240824,-76.64327189426494,-76.6413890254294,-76.62189648207901,-76.54077412034543,-76.46104863887868,-76.38087399976986,-76.32050272109974,-76.31008585706495,-76.30299006463558,0.0,1000.0,0.0
ozono_anomalo,ndvi,1000,1000,0,0,1.0,0.5362923150506677,0.16646167772508122,0.025524079305174852,0.14088368876387122,0.2233449099161634,0.42921408508005837,0.5500012018349195,0.6623096011382349,0.7797992594799772,0.8407679053118727,0.860588847773159,0.0,0.0,2.0
ozono_anomalo,ndbi,1000,1000,0,0,1.0,-0.13320319266595737,0.12881230814718636,-0.4214070138240971,-0.37138276054298797,-0.3268153505085288,-0.23086896303442758,-0.14565801175754,-0.03848887366524531,0.08520236677236755,0.14568536270797386,0.21400305646447088,0.0,822.0,0.0
ozono_anomalo,scl_pct,1000,1000,0,0,1.0,0.887882080078125,0.18854454811056381,0.302734375,0.3227294921875,0.4218017578125,0.84295654296875,1.0,1.0,1.0,1.0,1.0,0.0,0.0,119.0
ozono_anomalo,no2,1000,0,1000,0,0.0,,,,,,,,,,,,,,
ozono_anomalo,so2,1000,0,1000,0,0.0,,,,,,,,,,,,,,
ozono_anomalo,o3,1000,1000,0,0,1.0,0.12666991544514894,0.0018836366844697289,0.1234719306230545,0.1235009702295065,0.1237872987985611,0.12502491660416126,0.12676763534545898,0.12808668985962868,0.1296437166631222,0.1305779941380024,0.1318046897649765,0.0,0.0,0.0
ozono_anomalo,era5_T2m,1000,1000,0,0,1.0,298.247900390625,2.006330314915463,292.23846435546875,293.99077697753904,295.28173828125,296.62152099609375,298.30950927734375,299.7931213378906,301.607666015625,301.96307373046875,303.1817321777344,0.0,0.0,0.0
ozono_anomalo,era5_Td2m,1000,1000,0,0,1.0,292.67828787231446,1.5271199618544489,289.95782470703125,290.01092529296875,290.55377197265625,291.6406555175781,292.36907958984375,293.54656982421875,295.5466003417969,296.30487060546875,297.0692138671875,0.0,0.0,7.0
ozono_anomalo,era5_u10,1000,1000,0,0,1.0,0.24976401317119598,0.8343010005392445,-1.2956390380859375,-1.2956390380859375,-1.0965598821640015,-0.4274749755859375,0.23269975185394287,0.8583351373672485,1.6727533340454102,1.9433778524398804,1.98199462890625,0.0,411.0,0.0
ozono_anomalo,era5_v10,1000,1000,0,0,1.0,-1.0563907401561736,0.45572375147327854,-1.7392536401748657,-1.7344653606414795,-1.6414794921875,-1.3498575687408447,-1.1170670986175537,-0.8420424461364746,-0.314556360244751,0.9764273166656494,0.9910156726837158,0.0,975.0,25.0
ozono_anomalo,era5_BLH,1000,1000,0,0,1.0,706.8452009277344,137.59278613407247,158.142578125,218.540771484375,482.998291015625,646.35791015625,723.4375,781.08740234375,878.5625,1056.2664794921875,1056.2664794921875,0.0,0.0,61.0
ozono_anomalo,era5_RH850,1000,1000,0,0,1.0,87.64798966217042,5.826958873252626,59.23899841308594,67.65549392700196,79.13459014892578,83.28368377685547,88.48992919921875,91.80657196044922,95.25951385498047,96.52626037597656,98.33665466308594,0.0,0.0,14.0
ozono_anomalo,era5_psurf,1000,1000,0,0,1.0,87855.334328125,2116.876506029032,85167.03125,85189.78125,85240.81171875,85882.609375,89355.78125,89557.09375,90775.40625,90865.28125,90980.296875,0.0,0.0,0.0
ozono_anomalo,era5_precip,1000,1000,0,0,1.0,0.00046280184108763936,0.000985670895925709,-9.313225746154785e-10,0.0,0.0,0.0,3.7670135498046875e-05,0.00024755578488111496,0.0032958984375,0.0037589017301797867,0.0043496256694197655,333.0,3.0,149.0
ozono_anomalo,modis_AOD_047,1000,144,856,0,0.144,0.25077777775004506,0.11294576468346311,0.0,0.022360000461339947,0.07965000160038471,0.17399999499320984,0.25450000166893005,0.3089999854564667,0.43700000643730164,0.5498300051689147,0.6549999713897705,2.0,0.0,4.0
ozono_anomalo,modis_AOD_055,1000,144,856,0,0.144,0.18101041626909542,0.08232429566269046,0.0,0.015910000205039975,0.05635000020265579,0.125,0.1834999993443489,0.22300000488758087,0.31700000166893005,0.4006899967789649,0.4779999852180481,2.0,0.0,4.0
