clase,banda,n,n_finite,n_nan,n_inf,pct_finite,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,n_zero,n_negative,n_outlier_iqr
suelo_urbano,B2,4096000,4096000,0,0,1.0,1433.624267578125,1025.6278076171875,0.0,326.0,519.0,881.0,1186.0,1612.0,3240.0,5996.0,20320.0,203,0,307924
suelo_urbano,B3,4096000,4096000,0,0,1.0,1551.4774169921875,985.1040649414062,0.0,467.0,670.0,1016.0,1306.0,1722.0,3352.0,5836.0,19624.0,10,0,318836
suelo_urbano,B4,4096000,4096000,0,0,1.0,1601.02001953125,989.6821899414062,0.0,352.0,558.0,1048.0,1404.0,1834.0,3400.0,5728.0,18376.0,5,0,278207
suelo_urbano,B5,4096000,4096000,0,0,1.0,1832.483642578125,922.7191162109375,0.0,549.0,934.0,1348.0,1650.0,2028.0,3378.0,5936.0,17889.0,4,0,272282
suelo_urbano,B6,4096000,4096000,0,0,1.0,2123.366455078125,867.656494140625,0.0,627.0,1228.0,1682.0,1957.0,2337.0,3538.0,5899.0,17538.0,4,0,304188
suelo_urbano,B7,4096000,4096000,0,0,1.0,2272.972412109375,872.61669921875,85.0,665.0,1321.0,1811.0,2108.0,2530.0,3714.0,5917.0,17283.0,0,0,280230
suelo_urbano,B8,4096000,4096000,0,0,1.0,2201.619384765625,903.4214477539062,116.0,575.0,1198.0,1694.0,2020.0,2504.0,3740.0,5796.0,17112.0,0,0,232763
suelo_urbano,B8A,4096000,4096000,0,0,1.0,2390.2802734375,879.568603515625,0.0,637.0,1390.0,1925.0,2236.0,2672.0,3846.0,5945.0,16906.0,6,0,284898
suelo_urbano,B9,4096000,4096000,0,0,1.0,2378.78955078125,1032.8343505859375,169.0,619.0,1506.0,1971.0,2194.0,2509.0,3655.0,7348.0,16276.0,0,0,401050
suelo_urbano,B11,4096000,4096000,0,0,1.0,2621.3095703125,861.864013671875,98.0,537.0,1445.0,2167.0,2584.0,2973.0,3930.0,5754.0,15523.0,0,0,266817
suelo_urbano,B12,4096000,4096000,0,0,1.0,2403.822509765625,945.1851196289062,0.0,445.0,1028.0,1830.0,2379.0,2866.0,3873.0,5436.0,15451.0,4,0,120305
suelo_urbano,SCL,4096000,4096000,0,0,1.0,5.1180100440979,1.1206204891204834,2.0,3.0,4.0,5.0,5.0,5.0,8.0,9.0,10.0,0,0,829025
