time_idx,time_s2,scl_pct
350,20220312T153621_20220312T153627_T18NUK,0.011391944
351,20220314T152639_20220314T152637_T18NUJ,0.13696046
352,20220314T152639_20220314T152637_T18NUK,0.022220036
353,20220317T153619_20220317T154033_T18NUJ,0.16816013
354,20220317T153619_20220317T154033_T18NUK,0.065201126
355,20220319T152641_20220319T152747_T18NUJ,2.3705095e-06
356,20220319T152641_20220319T152747_T18NUK,0.0
357,20220322T153621_20220322T153622_T18NUJ,4.872714e-06
358,20220322T153621_20220322T153622_T18NUK,3.2923742e-06
359,20220324T152639_20220324T152835_T18NUJ,0.0
360,20220324T152639_20220324T152835_T18NUK,0.0038344308
361,20220327T153619_20220327T154047_T18NUJ,2.9367979e-05
362,20220327T153619_20220327T154047_T18NUK,1.4486446e-05
363,20220329T152641_20220329T152641_T18NUJ,0.0
364,20220329T152641_20220329T152641_T18NUK,0.0009618342
365,20220401T153621_20220401T153621_T18NUJ,0.27840605
366,20220401T153621_20220401T153621_T18NUK,0.1051664
367,20220403T152639_20220403T153055_T18NUJ,0.07292846
368,20220403T152639_20220403T153055_T18NUK,0.004464328
369,20220406T153619_20220406T154150_T18NUJ,0.29075265
370,20220406T153619_20220406T154150_T18NUK,0.17515543
371,20220408T152641_20220408T152640_T18NUJ,1.7647126e-05
372,20220408T152641_20220408T152640_T18NUK,0.0
373,20220411T153621_20220411T154026_T18NUJ,0.28071508
374,20220411T153621_20220411T154026_T18NUK,0.1214649
375,20220413T152639_20220413T152635_T18NUJ,5.267799e-07
376,20220413T152639_20220413T152635_T18NUK,1.1325767e-05
377,20220416T153619_20220416T153615_T18NUJ,0.0003115903
378,20220416T153619_20220416T153615_T18NUK,5.109765e-05
379,20220418T152641_20220418T152643_T18NUJ,0.024175113
380,20220418T152641_20220418T152643_T18NUK,0.0077664475
381,20220421T153621_20220421T153959_T18NUJ,0.3111482
382,20220421T153621_20220421T153959_T18NUK,0.09223507
383,20220423T152639_20220423T152633_T18NUJ,0.06213948
384,20220423T152639_20220423T152633_T18NUK,0.0054689627
385,20220426T153609_20220426T153612_T18NUJ,0.35928166
386,20220426T153609_20220426T153612_T18NUK,0.14438865
387,20220428T152641_20220428T152644_T18NUJ,0.0
388,20220428T152641_20220428T152644_T18NUK,0.0
389,20220501T153621_20220501T153624_T18NUJ,0.0058705006
390,20220501T153621_20220501T153624_T18NUK,1.2642717e-05
391,20220503T152639_20220503T152934_T18NUJ,0.11298948
392,20220503T152639_20220503T152934_T18NUK,0.012668266
393,20220506T153619_20220506T153615_T18NUJ,2.6075604e-05
394,20220506T153619_20220506T153615_T18NUK,2.3968485e-05
395,20220508T152641_20220508T152643_T18NUJ,0.07807628
396,20220508T152641_20220508T152643_T18NUK,0.015346414
397,20220511T153621_20220511T154121_T18NUJ,0.5851805
