clase,ndvi,ndbi,scl_pct,lat,lon,PC1,PC2
vegetacion_densa,0.6727977991104126,-0.2709958851337433,1.0,3.3557465753570224,-76.31969872892044,1.6357044224081585,1.0902533198047613
contaminacion_alta_NO2,0.47871243953704834,-0.06780575960874557,1.0,3.553914927033696,-76.35428386735954,-1.4539164589602145,1.6809142735724796
contaminacion_alta_SO2,0.47619205713272095,0.033270396292209625,1.0,3.3448769604191813,-76.42785588912999,2.4771652594498663,1.588727500001966
vegetacion_densa,0.6388986110687256,-0.2652059495449066,0.933837890625,3.6049392351716607,-76.60518332621773,-0.3403800265000269,-1.618885656601829
contaminacion_alta_NO2,0.2576620876789093,-0.01531902514398098,0.3671875,3.4825886934746393,-76.44465438494326,0.6107691951048547,1.3729452996770717
vegetacion_densa,0.6499027013778687,-0.20554670691490173,1.0,3.3984165513526796,-76.36299752561563,1.3944944229596117,1.4226842201264804
vegetacion_densa,0.724108874797821,-0.315984308719635,1.0,3.3137952515886604,-76.48930065456464,2.0390052012085578,0.6658142723213494
contaminacion_alta_NO2,0.18520736694335938,0.05534069240093231,1.0,3.538643567203671,-76.49487020932627,-1.1841473954642925,0.7740348104271619
contaminacion_alta_NO2,0.6274910569190979,-0.17691917717456818,1.0,3.4696529533833242,-76.3309276699721,1.41218051474724,0.009868137004131597
ozono_anomalo,0.2946839928627014,-0.15141496062278748,0.35205078125,3.4595918222011903,-76.60913591346791,-1.0509262712367695,-0.6936365026351196
ozono_anomalo,0.5169904232025146,-0.03563888743519783,1.0,3.379282435800943,-76.35904493836544,2.3694204351275077,-0.3249499092962853
contaminacion_alta_SO2,0.7048845291137695,-0.26193779706954956,1.0,3.6389853844397746,-76.41797442100453,0.7147141040898328,-2.1219484951966168
ozono_anomalo,0.6998961567878723,-0.26518604159355164,1.0,3.6001781641658295,-76.42336431270932,1.2808676951089266,-1.4576447788604
contaminacion_alta_SO2,0.6569990515708923,-0.27427536249160767,1.0,3.4325525321492054,-76.61605294115573,0.43146913048493457,-1.8537840958346172
vegetacion_densa,0.7366465330123901,-0.22218170762062073,1.0,3.562538753761239,-76.56422014926129,2.3333544358156453,-2.6561256463273817
contaminacion_alta_NO2,0.25786441564559937,0.19186557829380035,0.998046875,3.353051629504665,-76.37970618990049,-0.14531004891110375,0.95311974657799
vegetacion_densa,0.7259440422058105,-0.2134658247232437,1.0,3.3688619785051612,-76.57895251992106,0.17769016229576146,-0.49779376942830117
contaminacion_alta_NO2,0.4712717831134796,-0.1426880657672882,0.5341796875,3.547716551573274,-76.4212083560274,-2.438928339760899,1.3127991033763409
vegetacion_densa,0.6300490498542786,-0.24725595116615295,0.8544921875,3.334097177009752,-76.63473789906568,-1.6419231488870667,-1.152483777947534
contaminacion_alta_NO2,0.3749907612800598,-0.01960546150803566,0.50927734375,3.3097528328101244,-76.37117219470123,0.13115604240230497,1.4312191679940596
vegetacion_densa,0.6492742896080017,-0.35384804010391235,0.5048828125,3.3155918821568986,-76.56502863301701,-1.1103195383943922,-2.7558934269894038
ozono_anomalo,0.603477418422699,-0.23730751872062683,0.78173828125,3.5480758776869217,-76.35473302500161,-0.8317510639862661,-0.15583728336491198
ozono_anomalo,0.6499881744384766,-0.29801467061042786,0.494140625,3.416832014677121,-76.37135185775806,2.2748529277087735,2.0176481241891513
vegetacion_densa,0.6685835123062134,-0.23916147649288177,0.33544921875,3.6080833386660776,-76.60419517940518,-0.548369675803555,-1.8455836899866582
contaminacion_alta_NO2,0.34540700912475586,-0.18645252287387848,0.429931640625,3.4612986212410166,-76.39057580483849,-0.03486364311953107,0.7718968876490288
contaminacion_alta_NO2,0.7475605607032776,-0.3378008008003235,1.0,3.4584240123318355,-76.43028134039714,2.806921543429519,-0.7805239602355181
vegetacion_densa,0.7901960611343384,-0.3975692689418793,0.641357421875,3.367155179465335,-76.39425889750343,1.3095068465511503,-0.2914169756005823
contaminacion_alta_SO2,0.6446508765220642,-0.30981218814849854,0.39111328125,3.612754578143497,-76.40270306117428,-0.27255264420765485,-1.152366154587496
contaminacion_alta_SO2,0.5902868509292603,-0.28900521993637085,0.9921875,3.4673173336446146,-76.30963759773816,0.517544374763496,0.20503758983574152
contaminacion_alta_SO2,0.4761344790458679,-0.24144147336483002,0.3056640625,3.571791401187666,-76.34278543172265,-1.399037866291735,-2.3947535654293755
contaminacion_alta_SO2,0.15832072496414185,0.10476773977279663,1.0,3.4434221470870465,-76.48930065456464,-1.79766507875659,2.6065392584912974
vegetacion_densa,0.6915269494056702,-0.29058924317359924,0.97705078125,3.4934583084124804,-76.59718832018895,0.24147915613076051,-1.9750057549700875
ozono_anomalo,0.8633414506912231,-0.4000316858291626,1.0,3.462107104996724,-76.4062064907824,2.3363831882464394,0.23029079648454256
contaminacion_alta_NO2,0.4503660202026367,-0.30498701333999634,0.643310546875,3.494805781338659,-76.32329199005697,2.473288707849629,-0.2532712029676158
vegetacion_densa,0.7110939025878906,-0.2607395350933075,0.7099609375,3.592811978836053,-76.59611034184799,2.085587611647267,-1.693767999918075
vegetacion_densa,0.7625647783279419,-0.21063488721847534,1.0,3.602693446961363,-76.60617147303027,2.0695094411002213,-2.6221009816504517
contaminacion_alta_SO2,0.7203974723815918,-0.20872513949871063,1.0,3.3208021108047894,-76.55146407222661,-1.3428089311828781,-0.6693200958306761
contaminacion_alta_NO2,0.14793279767036438,0.12926381826400757,0.96533203125,3.4355169725867984,-76.499810943389,-0.9621089966275199,3.221230403255358
contaminacion_alta_SO2,0.627148449420929,-0.2303619682788849,1.0,3.3766773214769974,-76.43683904197131,2.202046098507484,1.452595437596295
contaminacion_alta_NO2,0.45821914076805115,0.012033019214868546,0.94189453125,3.3127172732477175,-76.50538049815061,-1.9612811459223243,-0.20793323851481532
contaminacion_alta_NO2,0.6150813102722168,-0.08089638501405716,1.0,3.5943391148190553,-76.50645847649157,1.5691434967695472,-0.6066020698566204
contaminacion_alta_NO2,0.400846391916275,-0.009582852944731712,0.9921875,3.5443927850220334,-76.50313470994028,1.6624312831103134,-0.9674502268890557
contaminacion_alta_NO2,0.21410074830055237,0.026228802278637886,0.83447265625,3.482858188059875,-76.48391076285985,0.48878687910101626,1.4788010276321475
contaminacion_alta_NO2,0.7255290746688843,-0.33921724557876587,0.732666015625,3.5264264793396514,-76.4523798963868,-0.3080813504259256,-1.6352651710124977
contaminacion_alta_SO2,0.7606562972068787,-0.40898576378822327,0.65576171875,3.444140799314342,-76.40548783855509,-0.054437110322240384,0.3112163278217163
contaminacion_alta_SO2,0.7398674488067627,-0.35940688848495483,0.962158203125,3.458873169973895,-76.42408296493663,2.9353563750461427,-2.0588892369912966
contaminacion_alta_SO2,0.6772086024284363,-0.27723705768585205,0.82763671875,3.5623590907044154,-76.37602309723555,-0.29160424959782966,-0.985948095371708
contaminacion_alta_NO2,0.5017866492271423,-0.1601645052433014,1.0,3.316041039798958,-76.47061569665469,1.8374972836753742,0.15272718512450895
ozono_anomalo,0.5297349691390991,-0.09256955981254578,0.890625,3.6030527730750106,-76.33002935468797,1.0222617031589278,-1.0461780170361616
ozono_anomalo,0.4772113263607025,-0.06362313032150269,1.0,3.3544889339592556,-76.47375980014915,1.980751999502166,0.2952966331668978
contaminacion_alta_SO2,0.6856189370155334,-0.2582128345966339,0.95068359375,3.554633579260991,-76.37180101540012,-0.1112602394905058,-1.2555953943920717
