clase_vs_so2,variable,ks_stat,p_value,so2_mean,other_mean,delta_mean
ozono_anomalo,era5_RH850,0.18695652173913044,0.0006262760594697106,85.89031060260275,88.35727907263714,-2.466968470034388
ozono_anomalo,era5_v10,0.23478260869565218,5.694956717583787e-06,-0.8141554123681525,-1.0287288056767505,0.21457339330859804
ozono_anomalo,ndvi,0.27391304347826084,5.3318924615847346e-08,0.6123564367708952,0.5268240040735058,0.08553243269738942
ozono_anomalo,modis_WV,0.2826086956521739,1.7042629173302435e-08,2.9394113801095796,2.4976853907108305,0.4417259893987491
ozono_anomalo,no2,0.5395833333333333,1.5557457769100849e-25,1.524569118070455e-05,7.325097450028295e-06,7.920593730676254e-06
ozono_anomalo,o3,0.6565217391304348,3.7418986791808783e-47,0.11829372615269992,0.12524604285540789,-0.006952316702707961
ozono_anomalo,so2,1.0,1.8067866542839666e-137,0.00039030523039400576,-2.8586368807737016e-05,0.00041889159920174276
suelo_urbano,era5_BLH,0.13043478260869565,0.03985498765810864,679.0353250254756,702.4050287661345,-23.369703740658906
suelo_urbano,era5_v10,0.13043478260869565,0.03985498765810864,-0.8141554123681525,-0.7658450078705082,-0.04831040449764423
suelo_urbano,o3,0.1378159757330637,0.025852452558039973,0.11829372615269992,0.11766394539627918,0.0006297807564207419
suelo_urbano,era5_u10,0.14347826086956522,0.01746369568227475,0.22639698736045671,0.2992163481919662,-0.07281936083150947
suelo_urbano,era5_RH850,0.17391304347826086,0.0018667811103042528,85.89031060260275,88.3148739690366,-2.424563366433844
suelo_urbano,modis_WV,0.1782608695652174,0.0013088133250254755,2.9394113801095796,2.6402710905865483,0.2991402895230313
suelo_urbano,scl_pct,0.18695652173913044,0.0006262760594697106,0.899393894361413,0.8986221976902173,0.0007716966711956985
suelo_urbano,modis_AOD_047,0.2439344539950036,3.53095914158507e-06,0.2692374843090311,0.35680371144135886,-0.08756622713232776
suelo_urbano,modis_AOD_055,0.2439344539950036,3.53095914158507e-06,0.19479131885697093,0.2587951873495961,-0.06400386849262518
suelo_urbano,no2,0.7282051282051282,3.0845509613204284e-54,1.524569118070455e-05,3.9613846640862996e-05,-2.4368155460158447e-05
suelo_urbano,so2,0.8913043478260869,2.222310363621135e-96,0.00039030523039400576,3.581463752296891e-05,0.0003544905928710368
suelo_urbano,ndvi,0.9521739130434783,7.829988711324654e-116,0.6123564367708952,0.17774252176851682,0.43461391500237845
suelo_urbano,ndbi,0.9739130434782609,2.30092685103803e-124,-0.20097382464243665,0.10621764246860275,-0.3071914671110394
vegetacion_densa,modis_WV,0.08260869565217391,0.4132539572991459,2.9394113801095796,2.8401809871196746,0.09923039298990499
vegetacion_densa,era5_RH850,0.10434782608695652,0.1635204486578329,85.89031060260275,86.92538355951724,-1.0350729569144903
vegetacion_densa,era5_BLH,0.13043478260869565,0.03985498765810864,679.0353250254756,655.9823072350543,23.053017790421222
vegetacion_densa,era5_v10,0.13043478260869565,0.03985498765810864,-0.8141554123681525,-0.8194519864476245,0.005296574079472038
vegetacion_densa,scl_pct,0.15217391304347827,0.009638486651414018,0.899393894361413,0.884639308763587,0.014754585597826053
vegetacion_densa,modis_AOD_047,0.18374476013041452,0.0010800711517522322,0.2692374843090311,0.32386657694114024,-0.05462909263210913
vegetacion_densa,modis_AOD_055,0.18672989795486303,0.0008454394983228811,0.19479131885697093,0.23465195988443052,-0.03986064102745959
vegetacion_densa,era5_u10,0.19130434782608696,0.00042742198219787575,0.22639698736045671,0.374082926498807,-0.14768593913835026
vegetacion_densa,no2,0.21454545454545454,0.000512717826553265,1.524569118070455e-05,1.1824397628518906e-05,3.4212935521856434e-06
vegetacion_densa,ndbi,0.26956521739130435,9.299074352644805e-08,-0.20097382464243665,-0.2674486260375251,0.06647480139508846
vegetacion_densa,ndvi,0.3826086956521739,2.154674341949177e-15,0.6123564367708952,0.6942946967871293,-0.08193826001623405
vegetacion_densa,o3,0.4260869565217391,3.7051981969633276e-17,0.11829372615269992,0.11368650372099617,0.00460722243170375
vegetacion_densa,so2,1.0,1.8067866542839666e-137,0.00039030523039400576,-2.8353909012524958e-06,0.00039314062129525824
