tile_id,clase,fecha_tile,anio,contaminante,ventana_dias,estacion_cercana,municipio_estacion,distancia_km,valor_dagma,dias_con_dato,horas_con_dato
3287,vegetacion_densa,2024-10-17,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,32.0081957453781,,0,0
3288,vegetacion_densa,2024-02-15,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,35.80470540972815,,0,0
3288,vegetacion_densa,2024-02-15,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,35.80470540972815,,0,0
3288,vegetacion_densa,2024-02-15,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,35.80470540972815,,0,0
3289,vegetacion_densa,2021-01-16,2021,NO2,0,ESTACIÓN YUMBO,Yumbo,12.959114198839533,5.6421052631578945,1,19
3289,vegetacion_densa,2021-01-16,2021,NO2,1,ESTACIÓN YUMBO,Yumbo,12.959114198839533,6.33561403508772,3,58
3289,vegetacion_densa,2021-01-16,2021,NO2,3,ESTACIÓN YUMBO,Yumbo,12.959114198839533,6.870030758714969,7,138
3290,vegetacion_densa,2025-11-21,2025,NO2,0,ESTACIÓN YUMBO,Yumbo,32.066121923963635,,0,0
3290,vegetacion_densa,2025-11-21,2025,NO2,1,ESTACIÓN YUMBO,Yumbo,32.066121923963635,,0,0
3290,vegetacion_densa,2025-11-21,2025,NO2,3,ESTACIÓN YUMBO,Yumbo,32.066121923963635,,0,0
3291,vegetacion_densa,2025-11-21,2025,NO2,0,ESTACIÓN YUMBO,Yumbo,16.26419871787876,,0,0
3291,vegetacion_densa,2025-11-21,2025,NO2,1,ESTACIÓN YUMBO,Yumbo,16.26419871787876,,0,0
3291,vegetacion_densa,2025-11-21,2025,NO2,3,ESTACIÓN YUMBO,Yumbo,16.26419871787876,,0,0
3292,vegetacion_densa,2023-09-13,2023,NO2,0,ESTACIÓN YUMBO,Yumbo,20.093458589059978,,0,0
3292,vegetacion_densa,2023-09-13,2023,NO2,1,ESTACIÓN YUMBO,Yumbo,20.093458589059978,,0,0
3292,vegetacion_densa,2023-09-13,2023,NO2,3,ESTACIÓN YUMBO,Yumbo,20.093458589059978,,0,0
3293,vegetacion_densa,2025-04-05,2025,NO2,0,ESTACIÓN YUMBO,Yumbo,3.83775683079476,,0,0
3293,vegetacion_densa,2025-04-05,2025,NO2,1,ESTACIÓN YUMBO,Yumbo,3.83775683079476,,0,0
3293,vegetacion_densa,2025-04-05,2025,NO2,3,ESTACIÓN YUMBO,Yumbo,3.83775683079476,,0,0
3294,vegetacion_densa,2023-01-26,2023,NO2,0,ESTACIÓN YUMBO,Yumbo,29.532264933063004,,0,0
3294,vegetacion_densa,2023-01-26,2023,NO2,1,ESTACIÓN YUMBO,Yumbo,29.532264933063004,,0,0
3294,vegetacion_densa,2023-01-26,2023,NO2,3,ESTACIÓN YUMBO,Yumbo,29.532264933063004,,0,0
3295,vegetacion_densa,2025-11-21,2025,NO2,0,ESTACIÓN YUMBO,Yumbo,11.59139008948998,,0,0
3295,vegetacion_densa,2025-11-21,2025,NO2,1,ESTACIÓN YUMBO,Yumbo,11.59139008948998,,0,0
3295,vegetacion_densa,2025-11-21,2025,NO2,3,ESTACIÓN YUMBO,Yumbo,11.59139008948998,,0,0
3296,vegetacion_densa,2021-10-03,2021,NO2,0,ESTACIÓN YUMBO,Yumbo,12.652124035106263,,0,0
3296,vegetacion_densa,2021-10-03,2021,NO2,1,ESTACIÓN YUMBO,Yumbo,12.652124035106263,,0,0
3296,vegetacion_densa,2021-10-03,2021,NO2,3,ESTACIÓN YUMBO,Yumbo,12.652124035106263,,0,0
3297,vegetacion_densa,2024-04-30,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,11.61297974873922,,0,0
3297,vegetacion_densa,2024-04-30,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,11.61297974873922,,0,0
3297,vegetacion_densa,2024-04-30,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,11.61297974873922,,0,0
3298,vegetacion_densa,2021-11-07,2021,NO2,0,ESTACIÓN YUMBO,Yumbo,11.642669892743763,,0,0
3298,vegetacion_densa,2021-11-07,2021,NO2,1,ESTACIÓN YUMBO,Yumbo,11.642669892743763,,0,0
3298,vegetacion_densa,2021-11-07,2021,NO2,3,ESTACIÓN YUMBO,Yumbo,11.642669892743763,,0,0
3299,vegetacion_densa,2021-07-20,2021,NO2,0,ESTACIÓN YUMBO,Yumbo,20.61055368383317,,0,0
3299,vegetacion_densa,2021-07-20,2021,NO2,1,ESTACIÓN YUMBO,Yumbo,20.61055368383317,,0,0
3299,vegetacion_densa,2021-07-20,2021,NO2,3,ESTACIÓN YUMBO,Yumbo,20.61055368383317,,0,0
3300,vegetacion_densa,2024-01-31,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,22.837250291861807,,0,0
3300,vegetacion_densa,2024-01-31,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,22.837250291861807,,0,0
3300,vegetacion_densa,2024-01-31,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,22.837250291861807,,0,0
3301,vegetacion_densa,2021-11-02,2021,NO2,0,ESTACIÓN YUMBO,Yumbo,27.457050317638966,,0,0
3301,vegetacion_densa,2021-11-02,2021,NO2,1,ESTACIÓN YUMBO,Yumbo,27.457050317638966,,0,0
3301,vegetacion_densa,2021-11-02,2021,NO2,3,ESTACIÓN YUMBO,Yumbo,27.457050317638966,,0,0
3302,vegetacion_densa,2022-09-08,2022,NO2,0,ESTACIÓN YUMBO,Yumbo,24.195220060970353,,0,0
3302,vegetacion_densa,2022-09-08,2022,NO2,1,ESTACIÓN YUMBO,Yumbo,24.195220060970353,,0,0
3302,vegetacion_densa,2022-09-08,2022,NO2,3,ESTACIÓN YUMBO,Yumbo,24.195220060970353,,0,0
3303,vegetacion_densa,2024-08-23,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,25.623323530950362,,0,0
3303,vegetacion_densa,2024-08-23,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,25.623323530950362,,0,0
3303,vegetacion_densa,2024-08-23,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,25.623323530950362,,0,0
3304,vegetacion_densa,2024-10-17,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,19.16507277116684,,0,0
3304,vegetacion_densa,2024-10-17,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,19.16507277116684,,0,0
3304,vegetacion_densa,2024-10-17,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,19.16507277116684,,0,0
3305,vegetacion_densa,2024-04-10,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,12.638895016455281,22.379166666666666,1,24
3305,vegetacion_densa,2024-04-10,2024,NO2,1,ESTACIÓN YUMBO,Yumbo,12.638895016455281,22.62140151515152,2,46
3305,vegetacion_densa,2024-04-10,2024,NO2,3,ESTACIÓN YUMBO,Yumbo,12.638895016455281,25.02632575757576,4,94
3306,vegetacion_densa,2021-07-05,2021,NO2,0,ESTACIÓN YUMBO,Yumbo,7.874337410265939,,0,0
3306,vegetacion_densa,2021-07-05,2021,NO2,1,ESTACIÓN YUMBO,Yumbo,7.874337410265939,,0,0
3306,vegetacion_densa,2021-07-05,2021,NO2,3,ESTACIÓN YUMBO,Yumbo,7.874337410265939,,0,0
3307,vegetacion_densa,2023-08-29,2023,NO2,0,ESTACIÓN YUMBO,Yumbo,21.1324907889666,,0,0
3307,vegetacion_densa,2023-08-29,2023,NO2,1,ESTACIÓN YUMBO,Yumbo,21.1324907889666,,0,0
3307,vegetacion_densa,2023-08-29,2023,NO2,3,ESTACIÓN YUMBO,Yumbo,21.1324907889666,,0,0
3308,vegetacion_densa,2025-05-10,2025,NO2,0,ESTACIÓN YUMBO,Yumbo,15.94484122403994,,0,0
3308,vegetacion_densa,2025-05-10,2025,NO2,1,ESTACIÓN YUMBO,Yumbo,15.94484122403994,,0,0
3308,vegetacion_densa,2025-05-10,2025,NO2,3,ESTACIÓN YUMBO,Yumbo,15.94484122403994,,0,0
3309,vegetacion_densa,2025-11-21,2025,NO2,0,ESTACIÓN YUMBO,Yumbo,16.3840191406057,,0,0
3309,vegetacion_densa,2025-11-21,2025,NO2,1,ESTACIÓN YUMBO,Yumbo,16.3840191406057,,0,0
3309,vegetacion_densa,2025-11-21,2025,NO2,3,ESTACIÓN YUMBO,Yumbo,16.3840191406057,,0,0
3310,vegetacion_densa,2025-05-20,2025,NO2,0,ESTACIÓN YUMBO,Yumbo,15.503462595531131,,0,0
3310,vegetacion_densa,2025-05-20,2025,NO2,1,ESTACIÓN YUMBO,Yumbo,15.503462595531131,,0,0
3310,vegetacion_densa,2025-05-20,2025,NO2,3,ESTACIÓN YUMBO,Yumbo,15.503462595531131,,0,0
3311,vegetacion_densa,2023-11-27,2023,NO2,0,ESTACIÓN YUMBO,Yumbo,29.681870580796108,,0,0
3311,vegetacion_densa,2023-11-27,2023,NO2,1,ESTACIÓN YUMBO,Yumbo,29.681870580796108,,0,0
3311,vegetacion_densa,2023-11-27,2023,NO2,3,ESTACIÓN YUMBO,Yumbo,29.681870580796108,,0,0
3312,vegetacion_densa,2022-08-24,2022,NO2,0,ESTACIÓN YUMBO,Yumbo,25.925533559339414,,0,0
3312,vegetacion_densa,2022-08-24,2022,NO2,1,ESTACIÓN YUMBO,Yumbo,25.925533559339414,,0,0
3312,vegetacion_densa,2022-08-24,2022,NO2,3,ESTACIÓN YUMBO,Yumbo,25.925533559339414,,0,0
3313,vegetacion_densa,2025-01-30,2025,NO2,0,ESTACIÓN YUMBO,Yumbo,24.570712948930982,,0,0
3313,vegetacion_densa,2025-01-30,2025,NO2,1,ESTACIÓN YUMBO,Yumbo,24.570712948930982,,0,0
3313,vegetacion_densa,2025-01-30,2025,NO2,3,ESTACIÓN YUMBO,Yumbo,24.570712948930982,,0,0
3314,vegetacion_densa,2024-10-12,2024,NO2,0,ESTACIÓN YUMBO,Yumbo,14.464881176453938,,0,0
