contaminante,ventana_dias,clase,n_tiles,n_con_dagma,dagma_media,dagma_mediana,dagma_p75,distancia_mediana_km,distancia_p75_km,cobertura_dagma
O3,1,ozono_anomalo,1000,272,19.79252676962299,15.508273420479302,31.259259259259256,8.365096868124983,13.263358560871062,0.272
O3,1,suelo_urbano,1000,122,16.128128461837903,13.757638888888886,19.298395570728292,0.8773784181900273,1.2416567483141223,0.122
O3,1,vegetacion_densa,1000,174,21.97692373416192,19.158333333333335,29.71666666666667,10.320017907969785,14.681122860997155,0.174
O3,3,contaminacion_alta_NO2,1000,161,18.452928685343988,16.330555555555552,19.89559478278491,3.1170292493830805,5.007752500005684,0.161
O3,3,contaminacion_alta_SO2,1000,244,19.033869001836997,15.830681829253441,23.61740380737275,7.609596326239499,12.719588624783459,0.244
O3,3,ozono_anomalo,1000,272,19.125715751212724,14.670843620103543,31.57491962454838,8.365096868124983,13.263358560871062,0.272
O3,3,suelo_urbano,1000,135,15.116283884182893,12.486195286195285,18.775351256930207,0.8773784181900273,1.2416567483141223,0.135
O3,3,vegetacion_densa,1000,178,20.940904582549003,17.67172955122171,28.601604554865425,10.320017907969785,14.681122860997155,0.178
SO2,0,contaminacion_alta_NO2,1000,84,13.922574023941918,10.587909090909092,23.010454545454547,3.151753565033805,5.048779356406904,0.084
SO2,0,contaminacion_alta_SO2,1000,141,11.184361102443713,6.043809523809524,20.75,9.260704062616645,14.0227382504715,0.141
SO2,0,ozono_anomalo,1000,151,15.593077923024998,9.894,25.409583333333334,9.717062410230195,14.669720710295543,0.151
SO2,0,suelo_urbano,1000,68,9.376688864528179,6.043809523809524,11.297077922077923,0.8817680752854333,1.1406200935724764,0.068
SO2,0,vegetacion_densa,1000,96,13.424879821095653,11.312337662337661,22.744204545454547,11.685262479633849,15.823458549380096,0.096
SO2,1,contaminacion_alta_NO2,1000,86,14.712030961297012,12.05625,24.90149621212121,3.151753565033805,5.048779356406904,0.086
SO2,1,contaminacion_alta_SO2,1000,146,11.924468177620746,7.657061617883868,21.110817882775123,9.260704062616645,14.0227382504715,0.146
SO2,1,ozono_anomalo,1000,169,15.020595214658167,8.798571428571428,26.09777777777778,9.717062410230195,14.669720710295543,0.169
SO2,1,suelo_urbano,1000,72,9.784691218186108,6.316805555555557,12.47272727272727,0.8817680752854333,1.1406200935724764,0.072
SO2,1,vegetacion_densa,1000,121,15.89180223691529,12.47272727272727,26.23095238095238,11.685262479633849,15.823458549380096,0.121
SO2,3,contaminacion_alta_NO2,1000,86,13.697714957856242,10.508418972332015,23.196998106060605,3.151753565033805,5.048779356406904,0.086
SO2,3,contaminacion_alta_SO2,1000,146,11.444758560491385,7.5486775206474075,20.429850547399457,9.260704062616645,14.0227382504715,0.146
SO2,3,ozono_anomalo,1000,169,14.516485303768835,8.852696078431373,24.399583333333336,9.717062410230195,14.669720710295543,0.169
SO2,3,suelo_urbano,1000,72,9.170477422045035,6.244658962863442,11.546985787273096,0.8817680752854333,1.1406200935724764,0.072
SO2,3,vegetacion_densa,1000,121,14.828292543448212,13.149875529922113,24.9103125,11.685262479633849,15.823458549380096,0.121
